"","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11",43.4644482967492,2,0,1,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,5,0,0,4,2,3,0,3,0,0,0,0,5,0,2,0,3,0,0,0,1,2,0,1,0,2,2,0,2,3,2,0,0,0,1,0,3,3,0,0,2,5,0,0,0,1,4,0,2,0,0,5,0,2,0,1,2,1,1,1,1,2,3,1,0,1,3,0,0,0,0,5,0,0,2,0,1,0
"12",55.3531739700042,3,0,0,0,0,2,0,1,0,1,2,0,5,2,1,1,0,0,0,0,1,1,0,2,2,4,0,0,1,0,3,0,0,0,0,3,0,0,0,1,0,1,1,0,0,2,1,0,2,0,0,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,1,4,0,5,1,3,0,1,1,0,1,0,5,0,1,0,0,0,2,1,2,0,0,0,0,2,1,1,0
"13",49.3305647425122,1,5,0,1,0,0,0,0,0,0,1,0,4,0,0,0,2,4,3,1,1,0,0,1,3,4,0,0,0,2,0,1,1,0,0,2,0,1,4,0,1,0,2,0,1,0,1,1,1,2,0,1,0,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,3,2,3,2,1,1,0,0,0,2,0,0,1,3,3,3,0,1,1,0,5,1,1,2,2,0,2,0,0,2,0,1
"14",34.8280557847218,1,1,0,0,0,5,0,1,1,2,1,1,2,0,2,3,0,4,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1,1,0,1,0,0,0,0,0,4,0,3,0,0,1,0,1,1,1,0,2,1,0,0,0,1,0,1,2,0,2,5,3,1,1,3,2,1,0,4,0,0,2,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0
"15",68.6453400179398,0,2,0,0,0,0,4,0,1,0,0,1,1,2,3,0,2,0,0,3,3,0,0,2,1,2,2,4,0,4,1,5,0,0,0,0,1,0,2,0,0,0,0,2,0,2,0,2,3,0,0,0,5,0,2,1,3,1,2,5,1,0,0,0,0,0,2,1,2,1,2,0,2,0,2,1,2,0,0,1,0,1,0,3,4,5,1,0,1,4,0,0,0,2,2,0,0,2,0,1
"16",62.3850070895837,3,0,2,0,0,1,0,0,5,0,4,3,1,1,0,1,2,0,2,0,2,0,0,0,2,0,0,0,2,2,0,2,1,0,2,2,2,0,0,0,4,1,1,0,0,0,0,0,5,0,1,1,5,0,0,0,1,0,2,0,5,0,0,0,1,2,2,0,0,0,3,0,0,0,0,0,1,5,3,0,0,1,0,0,1,0,0,0,0,5,0,0,0,4,1,5,0,0,2,2
"17",57.2271809929594,0,1,4,3,1,0,2,0,5,0,0,3,5,1,0,0,1,0,0,1,0,3,2,0,1,0,2,0,0,5,1,2,0,0,0,0,0,0,2,0,0,5,0,0,0,4,0,0,0,1,2,2,5,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,3,0,1,5,2,0,1,2,0,3,1,1,1,4,0,4,3,1,0,0,2,1,2,1,5,0,0,0,5,0,1,4
"18",29.5943648178499,0,1,0,0,0,0,5,1,0,0,0,0,3,1,2,0,1,1,0,1,1,3,1,0,0,2,0,3,0,0,1,4,1,2,4,0,0,0,0,0,2,0,2,0,1,2,0,0,1,2,0,1,0,0,2,1,1,2,0,1,0,0,0,4,0,3,4,2,3,0,2,2,0,0,0,1,2,0,0,2,0,5,4,2,0,2,0,0,0,4,0,0,1,2,1,0,0,0,1,0
"19",58.9701003085755,3,0,0,1,0,2,1,0,0,2,0,0,0,2,4,2,1,1,1,0,0,0,0,1,1,2,0,1,1,0,1,0,0,0,2,4,2,0,2,2,0,1,4,0,3,5,5,0,0,0,1,1,0,0,0,4,0,0,1,1,2,2,0,0,0,0,2,0,2,0,4,3,5,0,1,1,3,0,1,2,0,1,1,1,0,1,1,0,1,1,5,1,2,1,0,0,0,4,2,0
"20",55.7288380176345,3,2,2,0,0,1,0,0,3,1,0,0,0,2,0,0,0,0,1,3,2,0,2,0,0,1,1,1,0,1,2,0,2,1,5,5,0,0,2,2,2,3,1,3,0,3,0,0,1,1,0,0,2,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,2,0,2,2,2,5,0,0,2,0,3,0,2,0,4,1,0,1,0,0,1,0,0,0,1,4,2
"21",30.6879753980386,1,0,2,0,0,5,0,2,0,0,1,0,2,0,4,0,0,0,0,0,0,2,4,0,0,4,0,0,0,1,1,0,0,0,1,0,1,0,5,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,5,0,4,0,0,4,0,0,0,2,0,0,0,0,0,1,0,3,1,1,0,0,1,0,0,0,3,0,0,3,3,0,0,0,1,0,1,0,2,4,0,0,0
"22",31.8119907824904,0,0,2,0,0,0,5,1,3,2,0,0,2,1,1,0,0,0,2,0,4,0,1,0,0,0,1,0,1,1,2,1,0,0,0,2,5,2,3,0,2,1,0,4,0,0,0,0,5,2,0,1,0,1,0,2,0,1,0,0,0,0,2,0,0,0,2,0,2,2,0,5,2,0,0,3,2,0,0,1,0,1,2,2,1,0,2,0,0,0,0,1,2,0,2,0,0,0,0,2
"23",25.6103691827563,5,0,0,1,0,0,4,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,2,1,2,0,0,0,0,2,1,1,0,1,0,0,2,0,1,5,0,0,1,2,0,0,2,0,0,0,0,1,2,0,2,1,0,3,1,1,2,0,0,0,1,1,5,0,0,0,0,0,0,2,2,0,0,0,0,5,0,1,5,0,0,0,1,4,0,0,1,2,0,0,0,0,0,0
"24",53.8575656340283,0,2,0,0,0,5,0,0,4,0,2,2,2,0,4,5,5,2,1,0,0,1,0,4,4,5,1,4,2,2,0,3,0,0,1,2,2,2,0,1,2,5,1,2,0,0,5,0,0,2,0,1,0,0,2,0,1,0,0,2,3,2,0,0,0,0,0,0,3,2,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,1,1,0,0,0,0,0,4,2,4,1,4,5,0,0
"25",31.4639573686062,2,0,1,0,0,0,2,0,0,0,5,0,0,0,1,1,4,0,0,2,0,0,0,5,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,2,0,1,0,5,2,0,5,4,0,2,0,1,0,2,1,0,0,0,5,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,1,0,1,5,2,4,0,0,0,0,0,1
"26",50.51069768124,1,4,0,0,2,0,3,2,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,0,4,5,2,2,0,0,0,0,2,1,0,0,1,0,0,0,1,5,1,0,1,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,1,3,1,0,0,0
"27",49.3529342822554,1,1,1,0,0,5,2,2,0,2,4,1,2,2,2,0,0,0,2,0,0,2,1,2,5,1,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,2,0,5,0,0,2,0,5,0,0,2,0,4,0,0,0,0,0,1,0,2,0,1,0,5,0,0,0,2,0,1,1,2,0,2,5,5,2,0,0,0,0
"28",44.7006736420133,1,0,0,0,1,1,1,2,0,0,0,1,1,1,0,0,0,1,5,0,2,4,0,0,0,1,0,0,1,0,2,1,2,4,0,0,4,1,1,1,2,0,0,0,2,0,0,2,1,0,1,4,0,5,1,0,1,0,0,1,0,0,3,5,5,0,2,1,4,0,5,0,1,0,0,0,2,0,0,1,0,3,0,2,2,1,3,0,0,1,4,0,0,1,1,4,1,1,0,1
"29",66.1121460727465,0,2,0,2,0,0,1,0,5,1,2,0,0,1,1,1,0,0,0,2,1,1,1,0,2,4,0,0,1,0,0,1,2,0,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,1,1,3,2,0,0,4,1,0,0,0,1,1,1,0,0,2,4,0,2,0,3,0,1,0,2,4,4,0,0,5,0,0,1,0,1,0,0,0,0,4,0
"30",46.3318425270227,0,0,0,2,4,2,2,0,0,2,4,0,0,0,1,1,0,1,0,0,2,0,2,0,1,5,2,0,2,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,4,1,0,0,0,0,1,0,1,1,0,1,2,1,0,4,1,0,0,5,0,0,0,0,0,2,3,1,0,0,1,5,0,0,0,4,2,0,0,2,0,2,2,0,0,2,0,1,1,0,0,0,2,0,1,5
"31",30.3455377218179,0,0,2,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,1,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,5,0,0,5,1,0,0,1,2,1,2,0,5,0,0,0,0,0,0,0,4,1,0,2,0,1
"32",45.4036177785795,2,2,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,3,0,1,1,1,5,0,0,1,2,0,0,1,1,0,0,0,3,0,1,5,0,1,0,0,0,5,0,1,1,1,5,0,0,0,0,2,0,0,0,0,2,0,1,0,2,4,5,0,4,2,1,5,5,0,1,0,1,1,5,0,0,1,0,0,0,1,0,3,0,5,4,0,0,0,4,5,0,0,0,0,0,5
"33",55.6998382362267,0,0,0,2,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,5,1,0,1,0,4,2,0,0,0,0,5,2,2,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,1,1,0,4,0,1,1,0,3,0,0,0,4,2,2,0,0,5,3,2,1,1,5,0,1,0,4,0,0,0,2,0,0,3,0,0,0,0,4,1,1,0,2,0,0
"34",41.3850748677183,0,0,0,2,0,0,0,2,1,1,1,0,0,0,1,0,2,0,0,2,0,3,4,1,0,5,0,0,0,0,2,2,0,1,0,1,0,1,3,0,1,4,0,0,0,2,0,0,3,1,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,3,0,2,2,0,0,1,0,0,1,2,0,1,1,0,1,0,0,2,1,0,0,0,0,0,0,2,2,1,4,0
"35",53.3846339439586,1,5,0,2,1,0,4,0,2,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,5,0,0,2,4,1,1,1,0,2,2,2,0,2,2,2,0,2,1,0,5,5,0,1,2,0,0,0,0,0,0,2,0,1,0,3,0,3,0,0,5,5,0,0,2,2,0,1,0,1,3,5,2,0,2,0,2,0,0,0,0,0,1
"36",71.3467852414632,0,0,3,1,1,1,0,2,1,1,3,1,3,0,2,0,1,5,1,0,0,0,1,1,0,0,2,2,0,0,2,0,0,1,0,0,0,0,5,0,2,5,0,5,0,0,4,2,0,0,3,0,4,0,0,0,0,4,0,0,3,1,2,0,0,0,4,0,2,0,2,0,0,0,0,2,5,0,4,0,4,1,0,0,3,1,5,2,0,1,1,0,1,0,0,0,4,0,0,1
"37",45.4374554409377,0,2,1,0,0,0,0,5,2,3,0,2,1,2,2,0,0,4,0,2,0,1,0,1,5,0,0,1,0,0,1,0,1,0,0,4,1,5,2,0,1,1,0,1,0,0,1,1,0,0,2,1,4,1,0,0,0,2,0,2,0,5,1,0,5,3,5,0,2,2,2,0,0,0,0,1,4,2,1,2,0,2,2,0,0,1,5,0,3,0,0,0,0,0,5,3,0,3,1,5
"38",18.1843736788549,0,0,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,5,0,0,3,0,0,0,0,0,1,0,1,2,1,0,1,0,0,2,0,1,4,2,1,0,2,5,0,2,0,0,1,2,0,0,1,3,1,0,0,0,0,2,1,0,0,1,0,1,1,2,0,1,0,0,0,1,0,2,1,0,0,0,5,0,0,0,0,0,2,0,0,3,1,3,0,0,0,1,1
"39",61.2858053571767,0,5,0,2,0,4,2,0,2,0,0,0,0,2,2,0,1,0,0,2,0,3,0,0,0,2,4,0,0,5,0,0,0,3,0,0,1,4,1,5,0,0,0,0,0,2,2,4,2,2,0,2,4,1,0,0,0,1,3,0,4,2,0,1,2,0,1,0,0,1,0,0,1,2,1,2,3,1,5,0,0,0,0,4,0,2,0,0,1,0,5,0,0,3,0,2,1,0,1,1
"40",33.2144188222804,0,0,0,1,1,1,0,0,3,5,2,2,1,0,5,0,2,0,2,0,0,0,2,1,1,1,3,1,5,0,3,0,1,1,3,2,0,0,0,2,0,2,1,0,0,1,3,1,0,0,2,0,4,0,0,0,4,1,1,0,1,0,0,2,0,0,0,2,0,0,4,0,2,0,5,0,0,4,2,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,1,2,2,0,2,0
"41",58.2152027807149,0,1,2,0,0,5,1,5,0,0,2,5,4,0,0,1,0,1,0,0,2,0,0,0,1,0,0,4,0,0,2,2,0,0,2,0,4,2,4,0,2,1,0,2,0,3,2,0,0,0,0,0,1,0,0,0,2,0,1,2,5,0,1,0,0,0,1,0,2,0,1,2,0,0,0,2,1,0,4,0,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"42",60.716369633559,0,0,4,0,5,0,0,1,2,1,5,0,0,3,0,0,2,0,5,2,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,4,2,4,0,1,0,0,2,1,0,4,0,1,5,0,0,1,1,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,5,0,5,0,1,0,1,0,5,0,2,1,5,0,0,0,0,0,0,0,2,0,0,4,0,0,0
"43",60.0008923578895,1,0,0,1,0,3,0,2,1,5,1,2,1,0,1,1,1,2,0,0,2,3,0,2,1,5,4,2,1,0,5,0,0,0,2,2,1,0,0,1,2,1,0,2,2,3,0,1,1,2,3,0,0,3,0,2,0,3,4,2,0,0,1,0,1,0,0,5,2,0,2,2,0,0,0,2,1,0,4,4,2,2,0,0,5,2,2,4,0,3,0,3,0,0,0,5,2,1,0,0
"44",28.2980176143761,1,0,0,0,4,2,0,3,3,2,0,0,0,2,1,0,0,1,0,1,2,0,0,4,0,1,0,0,2,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,2,0,2,0,1,1,4,0,0,0,0,0,1,0,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,5,0,5,0,0,2,5,0,5,0,5,0,0,0,0,2,0,0,0,0
"45",25.4087848618923,0,0,2,0,0,4,0,0,5,0,1,0,0,0,2,0,2,1,2,2,0,2,2,0,0,3,0,2,2,0,0,0,2,2,0,0,0,2,0,0,0,2,2,0,0,0,0,4,1,0,0,3,0,0,0,1,2,0,0,0,2,1,0,2,2,4,0,0,3,3,0,0,0,1,4,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,4,0,1,0,0,0,0,1,0,2
"46",48.3571557443152,2,0,4,2,0,1,2,0,1,0,2,1,1,2,0,0,1,5,0,3,1,1,4,1,0,2,0,0,1,3,4,2,0,2,0,0,0,0,2,0,3,0,0,0,0,3,0,2,1,0,0,1,0,0,0,4,0,0,1,0,0,0,3,1,0,0,0,0,1,5,0,0,4,0,0,0,2,0,1,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,3,5
"47",57.335527061976,1,4,1,0,0,2,0,0,2,0,4,0,5,0,0,1,0,2,0,0,5,0,0,1,3,1,0,2,0,0,1,2,0,2,1,5,0,0,0,1,4,2,2,0,0,0,0,0,2,2,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,5,0,3,3,0,2,4,0,0,0,2,0,2,0,1,2,0,0,0,1,0,3,0,2,5,1,3,4,0,0,5,0,0
"48",48.1772694811494,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,2,0,2,1,0,0,2,5,0,0,0,0,0,2,0,1,0,1,0,1,0,3,2,1,0,0,3,0,1,0,0,5,0,1,0,0,0,2,3,0,2,4,0,5,5,0,1,0,0,4,1,1,0,0,0,0,3,0,1,0,1,2,3,1,1,0,5,0,2,1,0,0,0,1,1,0,5,0,5,2,1,0
"49",36.7324153986845,0,0,0,1,0,0,0,0,2,5,2,0,4,1,0,1,1,0,3,2,5,1,0,0,5,0,1,0,4,1,2,1,0,0,0,0,5,0,0,0,2,0,2,0,1,0,0,1,0,5,5,0,1,0,0,1,0,0,4,2,5,0,2,1,5,3,0,0,0,2,0,1,2,1,0,0,0,2,0,2,3,0,3,1,2,2,0,3,0,1,1,4,1,4,0,0,0,0,1,2
"50",75.6314023281748,5,2,4,0,0,0,0,5,4,1,2,3,0,1,2,0,0,0,0,0,4,0,1,0,0,5,2,1,0,0,5,0,2,0,0,1,1,5,0,4,4,1,0,0,0,0,5,1,0,0,4,5,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,2,1,0,2,5,0,0,0,0,3,1,2,1,3,0,3,4,1,1,0,0,1,1,0,1,0,0,0,1,1,3
"51",60.0343855696141,1,0,0,5,1,0,0,4,2,0,3,4,0,0,3,0,0,0,1,4,2,0,0,2,0,4,0,0,2,0,0,0,5,1,0,0,0,0,0,0,3,0,5,1,1,1,2,0,0,0,5,1,1,0,5,3,0,0,0,2,0,0,5,0,0,0,1,1,0,2,0,5,5,1,0,2,1,0,4,0,3,0,0,0,0,0,2,1,5,1,1,1,0,0,0,1,1,0,0,0
"52",36.9862165200944,2,0,0,0,0,0,0,2,0,2,0,2,2,0,0,1,0,0,3,5,5,0,5,0,2,1,0,2,1,0,3,5,0,0,1,1,0,2,0,1,4,0,2,1,1,0,4,1,2,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,5,2,0,0,1,0,1,0,0,0,4,0,1,0,5,5,0,1,3,0,4,0,0,0,0,0,1,0,2,1,4,0,0,0,0,1
"53",53.8329742567538,0,0,0,3,5,1,0,1,1,0,0,0,2,0,0,2,2,1,1,0,3,5,0,1,2,0,0,0,2,0,1,0,5,5,1,0,0,1,0,0,1,5,1,3,0,2,0,0,0,0,0,5,2,2,0,2,0,5,2,0,0,0,0,4,0,0,1,0,4,0,2,0,0,0,0,5,1,0,0,2,0,5,0,2,0,2,1,0,2,2,0,2,0,1,0,0,0,4,0,2
"54",5.95303795705901,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,5,2,0,1,0,0,0,0,1,0,1,0,3,3,0,0,0,0,2,5,0,0,2,0,0,0,0,4,2,1,4,0,1,0,0,2,1,1,4,0,0,0,1,5,4,0,0,0,1,0,0,1,2,0,3,5,1,1,0,0,2,0,3,0,1,0,0,0,0,2,0,1,0,1,5,2,2,0,0,0,1,0,0
"55",56.7469917177435,0,2,2,2,0,0,2,2,1,1,0,0,0,2,1,1,0,0,2,5,2,0,5,0,0,0,1,1,1,2,0,5,3,0,2,1,0,1,0,0,5,1,4,0,0,2,0,5,0,1,1,5,4,0,0,1,0,0,1,1,3,0,0,0,0,0,1,0,1,2,0,1,1,0,4,5,0,5,0,0,0,0,0,0,5,2,1,2,1,1,0,0,0,0,0,5,1,0,0,0
"56",49.0008366958375,1,3,0,0,4,0,0,0,5,2,0,0,5,4,0,2,0,0,1,2,0,0,4,5,0,1,0,0,3,0,0,0,2,0,1,4,0,5,2,1,1,2,0,0,0,0,0,0,0,3,0,2,1,0,2,0,0,3,5,1,0,0,2,5,0,0,0,0,1,2,1,2,0,0,2,1,1,2,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,4,0,0,2,2,5
"57",28.092594878648,2,0,1,0,0,0,0,0,0,1,0,1,1,3,0,0,4,1,2,1,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,1,0,2,2,2,1,0,5,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,1,1,1,4,0,4,0,0,0,0,5,3,3,0,2,1,0,3,0,1,5,2,0,1,0
"58",57.883098938944,3,1,0,0,0,0,0,1,0,1,0,0,0,2,3,3,0,0,1,0,1,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,4,0,3,0,1,3,2,2,0,1,0,0,0,2,1,0,4,3,2,2,2,0,0,0,2,1,0,2,0,4,0,0,2,5,2,2,1,2,1,0,1,1,1,0,0,0,2,0,0,1
"59",49.8027360368569,2,0,2,4,0,0,0,0,1,0,0,5,5,5,2,0,2,1,0,1,2,0,2,0,0,1,0,0,0,1,0,0,3,1,0,0,1,0,0,1,0,0,2,0,2,4,1,0,0,0,2,0,0,0,1,1,1,0,0,3,2,0,0,1,0,0,0,0,0,0,1,0,1,5,2,1,4,1,0,2,0,0,0,0,0,0,2,0,4,0,1,0,0,2,0,2,1,1,0,0
"60",36.9510140657303,0,1,3,0,2,3,0,0,0,0,1,2,0,5,1,0,1,0,0,0,0,0,5,0,0,0,1,4,1,4,0,0,0,0,0,2,0,0,5,4,4,1,3,0,1,0,0,0,1,1,4,1,0,2,5,0,1,0,3,3,0,0,0,0,0,2,0,3,0,2,1,0,0,2,0,4,0,0,2,0,1,0,0,2,0,0,1,0,2,2,0,0,0,3,2,0,1,0,0,0
"61",65.8780203785779,0,0,0,0,0,0,0,4,2,0,0,0,0,5,1,0,0,0,0,2,0,2,1,0,2,1,0,0,0,0,0,0,5,5,0,1,2,0,0,0,0,1,2,0,0,1,0,3,4,0,5,0,4,0,0,1,0,0,0,0,1,0,0,4,1,1,0,2,0,3,0,0,1,0,0,1,3,0,2,1,2,0,4,1,0,4,1,1,5,0,0,2,2,0,1,2,2,0,0,4
"62",25.6522443445079,1,0,0,2,0,0,0,0,0,0,0,4,1,0,2,0,0,5,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,1,0,1,4,3,0,2,2,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,5,2,0,4,0,2,0,0
"63",66.320433367373,1,5,3,1,2,3,0,3,1,0,0,0,0,0,0,1,0,0,2,5,0,1,4,0,3,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,3,0,0,0,0,0,0,1,0,1,4,0,0,5,1,4,0,0,0,0,2,0,0,0,1,0,0,1,0,0,5,2,2,0,2,1,1,0,5,0,3,0,0,3,0,0,0,0,2,5,3,0,3,4,0
"64",39.3885040567095,5,0,0,0,0,0,1,0,0,2,5,0,0,0,2,0,0,0,2,0,1,0,0,0,0,2,0,0,3,0,2,0,0,4,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,4,5,0,0,0,0,0,4,0,0,1,2,1,0,0,4,0,2,1,5,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,2,3,1,1,1,0,0,0,1,0,2,0
"65",46.2646018159649,0,1,1,0,1,0,0,0,3,3,0,0,1,1,0,0,1,3,2,1,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,2,0,4,1,5,0,0,0,0,0,3,2,0,4,1,0,2,2,1,2,2,0,4,1,0,3,2,0,0,4,3,2,0,0,2,0,0,1,0,0,0,0,2,0,2,0,1,0,5,1,2,0,0,0,5,0,0,1,1,0,2,0,0,0,0
